Title,AirDate,Rating,Num_Votes,Season,Episode,Description
The One Where Joey Loses His Insurance,14 Oct. 1999,8.4,4304,6,4,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent."
The One with Joey's Porsche,21 Oct. 1999,8.0,4191,6,5,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets."
The One on the Last Night,4 Nov. 1999,8.4,4247,6,6,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills."
The One Where Phoebe Runs,11 Nov. 1999,8.2,4262,6,7,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.
The One with Ross' Teeth,18 Nov. 1999,8.4,4432,6,8,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.
The One Where Ross Got High,25 Nov. 1999,9.1,6011,6,9,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.
The One with the Routine,16 Dec. 1999,8.5,4563,6,10,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents."
The One with the Apothecary Table,6 Jan. 2000,7.9,4166,6,11,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates."
The One with the Joke,13 Jan. 2000,7.9,4099,6,12,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend."
The One with Rachel's Sister,3 Feb. 2000,8.1,4269,6,13,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick."
The One Where Chandler Can't Cry,10 Feb. 2000,8.4,4325,6,14,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name."
The One That Could Have Been,17 Feb. 2000,8.4,4463,6,15,Barry and Mindy's impending divorce prompts the gang to fantasize about what their lives might be like if they'd all taken different courses.
The One That Could Have Been,17 Feb. 2000,8.4,4375,6,16,The gang continue to think about how different their lives could have been.
The One with Unagi,24 Feb. 2000,9.0,5891,6,17,Rachel and Phoebe take self-defense classes. Chandler and Monica agree to give each other homemade presents for Valentine's Day. Joey tries to get money through medical research.
The One Where Ross Dates a Student,9 Mar. 2000,8.2,4140,6,18,Ross jeopardizes his career when he starts dating a student from one of his palaeontology classes. Rachel and Phoebe's apartment catches fire.
The One with Joey's Fridge,23 Mar. 2000,8.2,4201,6,19,Joey tries to get everyone to pay for his broken fridge. Ross becomes paranoid when Elizabeth makes plans for spring break. Monica and Chandler compete against Phoebe to find Rachel a date.
The One with Mac and C.H.E.E.S.E.,13 Apr. 2000,7.2,4448,6,20,Chandler forgets to write down a message for Joey when the time of his audition for the lead in a TV show is changed.
The One Where Ross Meets Elizabeth's Dad,27 Apr. 2000,8.5,4405,6,21,"Elizabeth's father takes an instant disliking to Ross. Joey almost gets fired from ""Mac and C.H.E.E.S.E."" after offending the operator of the robot. Phoebe writes a book based on Monica and Chandler."
The One Where Paul's the Man,4 May 2000,8.9,5059,6,22,Paul threatens to have Ross fired from the university if he continues to date Elizabeth. The girls put their names down on a waiting list for a wedding venue.
The One with the Ring,11 May 2000,8.5,4270,6,23,Chandler and Phoebe go looking for an engagement ring for Monica. Rachel tries to get Paul to open up to her.
The One with the Proposal,18 May 2000,8.6,4416,6,24,Chandler's plan to propose to Monica at dinner is interrupted by Richard. Joey accidentally buys a boat at a silent auction. Ross and Elizabeth's relationship comes to a crossroad.
The One with the Proposal,18 May 2000,9.2,6041,6,25,"Chandler continues to pretend to hate the idea of marriage, unaware Richard wants Monica back. Meanwhile, Rachel and Phoebe discuss their 'back-up' plans."
The One with Monica's Thunder,12 Oct. 2000,8.3,4379,7,1,"The gang celebrate Monica and Chandler's engagement, however Ross and Rachel upstage them by briefly reuniting. Joey tries to dress and act like a nineteen-year-old for an audition."
The One with Rachel's Book,12 Oct. 2000,8.2,4071,7,2,"Monica learns her parents have spent her entire wedding fund. Phoebe temporarily moves into Ross's apartment, bringing her massage clients with her. Joey mocks Rachel when he finds an erotic novel she is reading."
The One with Phoebe's Cookies,19 Oct. 2000,8.0,4048,7,3,"Monica tries to figure out Phoebe's grandmother's secret cookie recipe. Meanwhile, Rachel tries to teach Joey how to sail, and Chandler has an awkward encounter when he tries to bond with Jack."
The One with Rachel's Assistant,26 Oct. 2000,7.9,4071,7,4,"Chaos ensues when Monica and Chandler decide to share each other's secrets. Rachel gets a promotion and interviews for an assistant. Joey is offered the chance to go back on ""Days of Our Lives""."
The One with the Engagement Picture,2 Nov. 2000,7.9,4030,7,5,"Chandler struggles to photograph well for his and Monica's engagement picture. Joey teaches Tag how to pick up women, much to Rachel's annoyance. Phoebe and Ross date a couple who are divorcing."
The One with the Nap Partners,9 Nov. 2000,8.8,4807,7,6,"Joey and Ross accidentally take a nap together - and much to their dismay, find that they like it. Phoebe and Rachel compete to become Monica's maid of honor."
The One with Ross's Library Book,16 Nov. 2000,8.4,4126,7,7,"Ross and Chandler discovers that Ross's book is in the section of the library where students go to have sex. Monica and Chandler run into Janice and she immediately invites herself to the wedding. They try to avoid her. Meanwhile, Rachel and Phoebe befriend Joey's girlfriend."
The One Where Chandler Doesn't Like Dogs,23 Nov. 2000,8.0,4020,7,8,"Ross struggles to name all 50 states in a game. Joey compromises Rachel's chances with her crush, Tag, during Thanksgiving dinner. Phoebe sneaks a dog into the apartment, making Chandler extremely nervous."
The One with All the Candy,7 Dec. 2000,8.0,3986,7,9,"Monica makes candy to get to know her neighbours, Rachel and Tag try to hide their relationship at work and Ross buys Phoebe a bike."
The One with the Holiday Armadillo,14 Dec. 2000,8.4,4395,7,10,"Ross wants to introduce Ben to Hanukkah. In order to entice Rachel to move back into their refurbished apartment, Phoebe must drive a wedge between Rachel and current roomie Joey."
The One with All the Cheesecakes,4 Jan. 2001,8.4,4268,7,11,Chandler refuses to give back a cheesecake accidentally delivered to his apartment; Phoebe gets angry with Joey when he blows off dinner with her for a date.
The One Where They're Up All Night,11 Jan. 2001,8.5,4333,7,12,"After the gang head up to the roof to see a passing comet, separate events unfold that lead to them all having a sleepless night."
The One Where Rosita Dies,1 Feb. 2001,8.3,4085,7,13,Rachel breaks Joey's armchair. Phoebe takes a temp job in a call centre. Ross and Monica find out their parents are selling their childhood home.
The One Where They All Turn Thirty,8 Feb. 2001,8.5,4331,7,14,Rachel's 30th birthday prompts the rest of the gang to reminisce about their own 30th celebrations.
The One with Joey's New Brain,15 Feb. 2001,8.3,4190,7,15,Joey's character on Days of Our Lives is awakened from his coma with a brain transplant from one of the show's most legendary characters. Ross practices the bagpipes for Monica and Chandler's wedding.
The One with the Truth About London,22 Feb. 2001,8.6,4358,7,16,"Chandler is shocked to find out who Monica really wanted to sleep with the night they first got together. Meanwhile, Rachel gets into trouble with Ross when she teaches Ben practical jokes."
The One with the Cheap Wedding Dress,15 Mar. 2001,8.2,4010,7,17,"Monica has to decide between her wedding dress and the band Chandler wants for the wedding. Joey and Ross date the same girl, and they both try to fight for her attention."
The One with Joey's Award,29 Mar. 2001,8.3,4067,7,18,Joey is nominated for a Soapy Award for his part on Days of Our Lives and Rachel is his date to the ceremony. Joey doesn't win the award but takes someone else's award home. Rachel convinces him to take it back because he can't be happy with an award he didn't win. One of Ross' students failed the midterms because he is in love with Ross and can't concentrate in class so Ross changes his grade. But now more students come to Ross pretending to be in love with him in order to get a better grade. When Rachel and Joey take the Soapy back the real winner just throws it ...
The One with Ross and Monica's Cousin,19 Apr. 2001,8.6,4515,7,19,Joey auditions for a naked role in a big movie; Rachel and Phoebe plan Monica's wedding shower; Ross becomes attracted to his cousin after she visits.
The One with Rachel's Big Kiss,26 Apr. 2001,8.2,4184,7,20,Rachel's college friend can't remember a scandalous kiss from the past; Chandler and Ross argue for possession of Val Kilmer's tuxedo.
The One with the Vows,3 May 2001,7.2,4085,7,21,"Monica and Chandler are getting married in four weeks and have to write their vows, but neither has a clue what to say, so they reflect on their past."
The One with Chandler's Dad,10 May 2001,8.2,4116,7,22,Ross and Rachel hit the freeway together when Monica's Porsche shows up again; Chandler and Monica go off to Vegas to find Chandler's estranged dad.
The One with Monica and Chandler's Wedding: Part 1,17 May 2001,8.8,4594,7,23,"So close to the wedding, Chandler suddenly realizes the overwhelming meaning of getting married. Meanwhile, Joey acts opposite a famous actor in a movie, but can't bring himself to tell him that he spits when he says his lines."
The One with Monica and Chandler's Wedding: Part 2,17 May 2001,9.1,5199,7,24,Ross tries to find Chandler with Phoebe's help. Meanwhile Rachel tries to hinder Monica.
The One After I Do,27 Sep. 2001,8.6,4383,8,1,The gang learns that Rachel is pregnant; Joey tries to impress a Broadway director who's dating Chandler's mom; Chandler's shoes make it hard for him to dance.
The One with the Red Sweater,4 Oct. 2001,9.0,5090,8,2,"Monica, Phoebe and Joey advise Rachel to tell the father about the pregnancy. Chandler and Ross lose the wedding photos."
The One Where Rachel Tells...,11 Oct. 2001,8.6,4152,8,3,"Even on their honeymoon, Monica is pushy, and is annoyed that Chandler won't jump the line at the airport check-in - especially after the couple in front of them, also on their honeymoon, get bumped up to first class. They try to sneak into the first-class lounge, but are caught - but she at least manages to steal an orange. Joey and Phoebe find that Monica and Chandler have tricked them out of the keys to the master apartment; Joey hopes a false gas leak alert will make super Treeger use his key, but he makes a fireman use an axe, and the wrecked door calls for a big..."
The One with the Videotape,18 Oct. 2001,9.2,5924,8,4,"Ross and Rachel tell everyone about the night they were together. They have two different stories of how it happened until Ross accidentally reveals that he videotaped it. Not surprisingly, everyone wants to see it."
The One with Rachel's Date,25 Oct. 2001,8.0,3979,8,5,"Phoebe dates Monica's sous-chef Tim and Monica doesn't fire him for Phoebe's sake. When Phoebe decides to dump Tim, Monica can finally fire him. Rachel has a date with Kash, a co-star on Days of Our Lives. Ross thinks it's weird because whoever takes Rachel out, takes his baby out too. He always pictured that his next child would grow up in a happy family. Rachel's date was terrible because she made the mistake of mentioning she was pregnant. Ross reassures her it isn't so bad because when she has the baby she will love someone more than she ever loved anyone."
The One with the Halloween Party,1 Nov. 2001,8.4,4332,8,6,"Monica and Chandler decide to throw a Halloween party; Phoebe runs into Ursula and her fiancée, who knows nothing about the ""real"" Ursula."
The One with the Stain,8 Nov. 2001,7.7,4037,8,7,"Chandler hires a maid, whom Monica suspects is stealing her clothing; Eric has trouble forgetting Ursula when he breaks up with her to date Phoebe."
The One with the Stripper,15 Nov. 2001,8.6,4511,8,8,"Chandler finds out that Monica had a bachelorette party with a stripper, even though they promised not to have bachelor/bachelorette parties. Rachel takes Phoebe along to dinner with Rachel's dad, because she is afraid her dad will be really angry when she tells him she's pregnant. Mr. Green is delighted to hear he will be a grandfather, but freaks out when he finds out that Rachel isn't getting married - so she just tells him that Ross won't marry her. Monica feels bad about having had a bachelorette party, so she organizes a bachelor party including a stripper for ..."
The One with the Rumor,22 Nov. 2001,9.2,7265,8,9,"Monica invites Will, an old school friend of her and Ross over for Thanksgiving dinner, unaware he isn't too fond of Rachel."
The One with Monica's Boots,6 Dec. 2001,7.9,4023,8,10,"Monica's expensive new boots hurt her feet, but she's determined to prove to Chandler that her purchase was worth it; Ben goes to school with Sting's son."
The One with Ross's Step Forward,13 Dec. 2001,7.9,3863,8,11,Ross' new girlfriend orders Christmas cards with a photo of them on the cover.
The One Where Joey Dates Rachel,10 Jan. 2002,8.4,4212,8,12,"Joey wants to take Rachel to dinner on a pretend date to practice his dating skills, but soon develops romantic feelings for her; gang addicted to Ms. Pac-Man."
The One Where Chandler Takes a Bath,17 Jan. 2002,8.4,4100,8,13,Monica turns Chandler on to the concept of taking a bath to relax; Ross and Rachel toss baby names around while deciding whether to learn the baby's sex.
The One with the Secret Closet,31 Jan. 2002,8.1,3888,8,14,"Chandler's very curious about a locked closet, but Monica won't tell him what is inside."
The One with the Birthing Video,7 Feb. 2002,8.2,3872,8,15,"During Valentine's Day, Chandler discovers the miracle of birth seeing an extremely graphic video. Ross hides from Mona that Rachel is now living in his apartment"
The One Where Joey Tells Rachel,28 Feb. 2002,8.2,3943,8,16,"Ross freaks out when Joey tells him that he is in love with Rachel because Ross is afraid that they will get married and raise his kid together. Phoebe dates a guy called Don, who she thinks is Monica's soul-mate and introduces Don to Monica to see what will happen. Monica and Don get along perfectly. Ross goes to tell Joey that he doesn't hate him and Joey promises to never act on his feelings for Rachel because he won't jeopardize his friendship to Ross. But when Ross realizes that Joey really is in love for the first time he tells Joey to tell Rachel. When Joey ..."
The One with the Tea Leaves,7 Mar. 2002,7.9,3886,8,17,"Chandler and Monica are happy together - their worst problem is his habit to put CDs in the wrong box and their different taste in music. Rachel is desperate to get back on good terms with Joey, so she takes Monica's advice to change the subject to something work-related. However in another uncomfortable conversation she manages to convince Joey that her boss, Mr. Zelner, wants to buy her baby. When Phoebe resumes reading tea leaves, she sees that she'll meet the man of her dreams soon, and takes that to be Jim, who she keeps bumping into. However she soon finds he ..."
The One in Massapequa,28 Mar. 2002,8.1,3940,8,18,Everyone prepares for the Gellers' 35th wedding anniversary in Long Island; Monica struggles to prepare the perfect toast; Phoebe invites her new boyfriend Parker.
The One with Joey's Interview,4 Apr. 2002,7.2,4057,8,19,"Joey prepares for his epic interview with Soap Opera Digest, reminiscing about his past acting experiences, his friends and his romantic life."
The One with the Baby Shower,25 Apr. 2002,8.1,3935,8,20,"Monica and Phoebe throw Rachel a baby shower but forget to invite Rachel's mom. Rachel realizes she has no idea how to look after the baby after the birth. Meanwhile, Joey auditions for a job as a host for a new game show called ""Bamboozled"", and Chandler and Ross help him practice."
The One with the Cooking Class,2 May 2002,8.0,3920,8,21,"Monica's restaurant get a bad review. After confronting the critic who wrote it, she decides to join a cooking class, with Joey in tow. Rachel gets jealous when Ross hits it off with a woman at the baby department store."
The One Where Rachel Is Late,9 May 2002,8.2,3866,8,22,Monica and Phoebe bet on when Rachel's baby will be born as the due date comes and goes as Rachel becomes extremely irritable; Chandler falls asleep at Joey's big movie premiere.
The One Where Rachel Has a Baby: Part 1,16 May 2002,8.7,4219,8,23,"Ross and Rachel go to the hospital to have their baby, but it's a long labor. They get stuck in a semi-private room, and many other couples come and go before Rachel is ready to deliver - the last couple being Janice and her new husband. Chandler and Monica decide to start trying to have a baby."
The One Where Rachel Has a Baby: Part 2,16 May 2002,8.8,4551,8,24,"After Rachel gives birth to her baby, she must confront relationship issues around her."
The One Where No One Proposes,26 Sep. 2002,8.5,4296,9,1,"Rachel, Ross and Joey get together in a guyand figure out that no one was actually going to propose; Mr. Geller walks in on Monica and Chandler having sex."
The One Where Emma Cries,3 Oct. 2002,8.4,4289,9,2,"Chandler, having trouble getting enough sleep at home, falls asleep in a meeting and accidentally agrees to run his company's Tulsa office."
The One with the Pediatrician,10 Oct. 2002,8.1,3964,9,3,"Joey arranges a blind date for Phoebe. Chandler is leaving for Tulsa without Monica, because she has got a great job offer."
The One with the Sharks,17 Oct. 2002,8.0,3999,9,4,Monica thinks Chandler is aroused by shark documentaries.
The One with Phoebe's Birthday Dinner,31 Oct. 2002,8.4,4098,9,5,"Phoebe will celebrate her birthday by having a dinner with her friends at a fancy restaurant. But everybody is late to the dinner, due to a series of problems."
The One with the Male Nanny,7 Nov. 2002,8.2,4282,9,6,"Looking for a new nanny, Ross and Rachel hire a male nanny named Sandy. Monica tells Chandler that a guy at work is the funniest guy she has ever met."
The One with Ross's Inappropriate Song,14 Nov. 2002,8.5,4289,9,7,"Ross finds a way to make Emma laugh - singing ""Baby Got Back."" Meanwhile, Phoebe meets Mike's parents, and Joey and Chandler find a video tape in Richard's apartment."
The One with Rachel's Other Sister,21 Nov. 2002,8.7,4757,9,8,Rachel's middle sister shows up at Thanksgiving and causes arguments amongst the gang.
The One with Rachel's Phone Number,5 Dec. 2002,8.0,3938,9,9,"Rachel is ready to start hanging out again. She and Phoebe go to a bar, where they meet two guys."
The One with Christmas in Tulsa,12 Dec. 2002,7.2,4067,9,10,"Chandler must spend Christmas in Tulsa, which Monica thinks he might have an affair with a former Miss Oklahoma runner-up while he is there. Chandler comes home early to announce that he quit his job."
The One Where Rachel Goes Back to Work,9 Jan. 2003,7.8,3803,9,11,"Chandler starts looking for a job and is anxious about having a baby, Rachel decides to go back to work, and Phoebe works as an extra on Joey's show."
The One with Phoebe's Rats,16 Jan. 2003,7.8,3921,9,12,Ross makes Joey stay away from their new nanny. Mike accidentally kills Phoebe's rat. Gavin gives Rachel a scarf and a kiss for her birthday.
The One Where Monica Sings,30 Jan. 2003,8.0,3898,9,13,A night at Mike's piano bar gives Monica a very showy moment in the spotlight; Chandler employs his secret skill to repair Joey's botched eyebrow-waxing job.
The One with the Blind Dates,6 Feb. 2003,8.1,3836,9,14,Phoebe and Joey purposely set Ross and Rachel up on bad dates in the hopes they'll get back together. Monica and Chandler babysit Emma.
The One with the Mugging,13 Feb. 2003,8.2,3859,9,15,"Joey gets a part in a stage-play in a painful way. Ross and Phoebe are mugged outside Central Perk, Phoebe realizes that she mugged Ross 18 years ago. Chandler starts his new career as advertising writer."
The One with the Boob Job,20 Feb. 2003,8.1,3774,9,16,"When Monica and Chandler both ask Joey for money not wanting the other to know why they are asking for it, Chandler sees that Joey gave money to Monica. Joey makes up that Monica is getting a boob job. Phoebe asks Mike to move in with her, but decides not to when she and Mike argue about their future. Rachel attempts to baby-proof the apartment, but makes Joey go insane when he can't open anything."
The One with the Memorial Service,13 Mar. 2003,8.3,3940,9,17,"When Chandler and Ross joke around on their college website, Ross is accused of being dead which leads to the fact that he was not popular in college. Joey is not willing to give his favorite stuffed animal, Hugsy, to Emma. Monica helps Phoebe not call Mike."
The One with the Lottery,3 Apr. 2003,8.5,4075,9,18,"Hoping to win a huge jackpot, the friends pool their money and buy dozens of lottery tickets. However, they bicker over how to spend the fortune if they win, and Monica irritates everyone else by buying tickets just for her and Chandler."
The One with Rachel's Dream,17 Apr. 2003,8.0,3814,9,19,"Joey is insecure now his Days of Our Lives character Dr. Drake Ramore is getting real dialog, so he asks Rachel to come along to the set, which she loves enough to get romantic dreams, but about Drake, Joey or both? Monica's fancy restaurant Javu is doing great, so she's flat out, too badly to accept joining Chandler on a surprise trip he booked to Vermont. When Phoebe comes sing her gross songs outside Javu, Monica tries to tell her nicely it's inappropriate, lacking style, but Phoebe just gets fancier dress; once told the truth, she starts a nasty row... Meanwhile ..."
The One with the Soap Opera Party,24 Apr. 2003,8.1,3831,9,20,Joey throws a cast party on the roof of his building where he ends up making out with an attractive professor that Ross had a crush on.
The One with the Fertility Test,1 May 2003,8.1,3739,9,21,"Still unable to conceive, Monica and Chandler decide to get tests done at a fertility clinic, where they run into Chandler's favorite ex, Janice. Rachel receives a gift certificate for a free massage at a chain massage center. Phoebe chastises Rachel for even thinking about going to a massage chain, which she feels takes away business from independent massage therapists like herself; however, Phoebe actually works at this specific massage chain. Rachel says she won't go and even tears up the gift certificate, but she later tapes it back together, goes for her free ..."
The One with the Donor,8 May 2003,7.7,3831,9,22,"When Joey hears that his girlfriend Charlie is an insecure shopper, he volunteers expert Rachel, who dreads being alone with her, so she makes sure Phoebe comes along, by saying she needs a dazzling outfit for the party she's going to just to save face as her ex Mike is coming too. Gynecologist Dr. Connelly tells Chandler and Monica they should keep trying the natural way, but realistically consider a surrogate mother -a nightmare for Monica- or donor sperm insemination, so Chandler invites his 'perfectly eligible' colleague Zach for dinner; they scare him with ..."
The One in Barbados,15 May 2003,8.4,4021,9,23,"Chandler gives advice to David, but that makes David want to propose to Phoebe. Although Phoebe is still in love with Mike. Monica calls Mike who shows up there right in the middle of David's proposal. Mike proposes instead. Phoebe gets back together with Mike, but doesn't accept his proposal. Monica's hair gets all poofy after getting off the plane. Charlie and Ross enjoy themselves when rewriting Ross's speech. Rachel keeps changing her mind on when to tell Joey that she has feelings for him."
The One in Barbados,15 May 2003,8.5,4176,9,24,"To the other friends' fury, it keeps raining except during Ross's speech, which to their amazement is a big hit with the paleontologists. Joey's scientific ignorance decides Charlie to turn her favor to Ross, then they must flee the other academics who intend by tradition to throw the key note-speaker into the pool. Chandler and Phoebe knew better, but Mike accepts to play table tennis against ever-obsessive fluffy monster Monica; when she gets injured, Chandler jumps in and crushes Mike. Rachel can't hide her feelings for Joey anymore, so when he sees Ross and ..."
The One After Joey and Rachel Kiss,25 Sep. 2003,8.4,4521,10,1,Joey and Ross both attempt to come clean to each other that they're dating Rachel and Charlie. Phoebe finds out Mike has another girlfriend.
The One Where Ross Is Fine,2 Oct. 2003,8.7,4879,10,2,Rachel and Joey fear for Ross's state of mind after he finds out about their relationship. Chandler and Monica visit some friends of Phoebe to get advice on adoption. Frank and the triplets come to visit.
The One with Ross's Tan,9 Oct. 2003,8.7,4732,10,3,Ross goes to a tanning salon but fails to follow the 'simple' instructions. Joey and Rachel struggle to make the transition from friends to lovers. Monica and Phoebe try to avoid an annoying woman that used to live in their building.
The One with the Cake,23 Oct. 2003,8.2,4138,10,4,"On Emma's first birthday, Ross and Rachel convince everyone to delay their plans so they can attend her party, however plans go awry when Emma's birthday cake is revealed."
The One Where Rachel's Sister Babysits,30 Oct. 2003,8.1,4079,10,5,Rachel's sister Amy comes to visit and moves in with her and Joey. Phoebe constantly and accidentally ruins Mike's proposals. Joey struggles to write a letter of recommendation for Monica and Chandler's adoption agency.
The One with Ross' Grant,6 Nov. 2003,8.1,4129,10,6,Ross applies for a paleontology grant and finds out Charlie's ex-boyfriend reviews the applications. Monica and Rachel fight over who has to take Phoebe's ugly painting.
The One with the Home Study,13 Nov. 2003,8.1,3971,10,7,Monica and Chandler nervously prepare for a visit from an adoption worker. Phoebe and Mike keep changing their minds about donating their wedding money to charity. Ross fights Rachel's fear of swings.
The One with the Late Thanksgiving,20 Nov. 2003,8.8,4792,10,8,"Joey, Ross, Rachel and Phoebe convince Monica and Chandler to host Thanksgiving, however the four of them end up arriving to dinner an hour late."
The One with the Birth Mother,8 Jan. 2004,8.5,4191,10,9,"Nervous and excited, Monica and Chandler travel to Ohio to meet a young pregnant woman, Erica Simmons, who is considering allowing them to adopt her child when it's born."
The One Where Chandler Gets Caught,15 Jan. 2004,7.8,4028,10,10,"Chandler and Monica have decided they want to raise their offspring in a suburban house and even find a perfect one in Westchester. Rachel and Phoebe see Chandler enter a car with his realtor, Nancy, and think he's cheating on Monica. After that misunderstanding is cleared, the other Friends are shocked the couple wants to leave Manhattan, and everybody starts reminiscing about living in New York as a gang, until Nancy calls about their bid on the house."
The One Where the Stripper Cries,5 Feb. 2004,8.9,5255,10,11,Old secrets come to light when Ross and Chandler attend a college reunion. Monica and Rachel throw Phoebe a bachelorette party. Joey appears as a celebrity partner on a game show.
The One with Phoebe's Wedding,12 Feb. 2004,8.8,4655,10,12,Chaos ensues as Phoebe and Mike prepare to get married.
The One Where Joey Speaks French,19 Feb. 2004,8.4,4423,10,13,Phoebe tries to teach Joey to speak French for an audition; Ross and Rachel head out to Long Island after her dad has a heart attack.
The One with Princess Consuela,26 Feb. 2004,8.5,4284,10,14,"When Phoebe goes to get her name changed she realizes she can change it to anything she wants, so she changes it to Princess Consuela Banana Hammock, to Mike's displeasure. Chandler finds out that Monica never changed her last name. Monica and Chandler take Joey to their house to convince him it is a good move and he tries to find anything wrong with the house so they won't buy it. Rachel goes to a job interview at a restaurant but her current boss is sitting right beyond her, costing her her job at Ralph Lauren. When cleaning out her office, she bumps into Mark who ..."
The One Where Estelle Dies,22 Apr. 2004,8.4,4042,10,15,"Ross tries to get Rachel to go back to Ralph Lauren, Joey doesn't know that his agent has died, and Monica and Chandler bump into Janice."
The One with Rachel's Going Away Party,29 Apr. 2004,8.8,4673,10,16,"The gang throws Rachel a goodbye party, during which she says goodbye to everybody individually."
The Last One,6 May 2004,9.6,15338,10,17,"Phoebe races Ross to the airport in a bid to stop Rachel from leaving for Paris. Monica and Chandler pack up their apartment ahead of their move to their new house, and Joey buys Chandler a new chick and duck as a leaving present."
